Antibody drug name,ADA (%) reported on the paper,ADA (%) we found (study reports & FDA labels),"""study report"" and FDA label mismatch",FDA approval,Type of antibodies,different names,Study report vs. FDA label,Need modification/review (baseline ADA?),flag
Mepolizumab,13,3.8,,Yes,Humanized,,,yes,"should be 3.8%/asthma: adult & adolescent: 6% (15/260), 6-11yo: 6% (2/35)/COPD: 52wk treatment: 3%(6/196), 52-104wk: 4% (35/999)/HES: 52wk: 2% (1/68), 32wk: 2% (1/53)"
Modotuximab,0,,,No,Humanized,zatuximab,,,
Mogamulizumab,4.2,14.1,,Yes,Humanized,,,no,no mention of treatment emergent/baseline
Motavizumab,1.5,,,No,Humanized,,,,
Moxetumomab,59,36.8,,Yes,Mouse,,,yes,should be 36.8%/59% (45/76) is baseline ADA! 70/80 had ADA during any time of the study. ADA positive baseline + druing is 73./ that means 28 subjects are treatment emergent.
Namilumab,0.9,12.7,,No,Human,,,,
Naptumomab,72.5,,,No,Chimeric,,,,
Natalizumab,9,9.5,,Yes,Humanized,,,yes,"9% (MS1 studies), 10% (CD studies). Both without subject numbers only percentages so chose the median value"
Navicixizumab,29,26.3,,No,Humanized,,,,
Necitumumab,4.1,4.1,,Yes,Human,,,no,
Netakimab,0,,,No,Humanized,,,,
Nirsevimab,28,5.4,,Yes,Human,,,yes,"Added up all the numbers/trial 3: 3.3% (16/492)/trial 4: 5% (95/1778)/trial 5: 6% (32/538) at first season day 361, 9% (13/144) at 2nd season day 361./trial 8: 13% (9/67)// So trial 5 has 2 seasons and not sure how to calculate the ADA. // Only considering season 1 in trial 5: 5.3%/ only considering season 2 in trial 5:5.4%/considering season 1 and season 2 separately (add all the numberes) 5.5%"
Nivolumab,7.7,8.9,,Yes,Human,,,yes,"All drug variations have different ADA/OPDIVO: 8.5% (24/281) - treatment emergent, ECL assay/OPDIVO-QVANTIG: 23% (46/202) ""developed ADA"", 7% (15/215) for invravenous injection. /OPDUALAG (mix of nivolumab and relatilimab): 3.8% (11/288), also mentions nivolumab treated ADA: 5.9% (16/272). Total 8.9%"
Obexelimab,17.5,66.7,,No,Humanized,,,,
Obiltoxaximab,2.5,2.5,,Yes,Chimeric,,,no,
Ocaratuzumab,1,,,No,Humanized,,,,
Ocrelizumab,1,0.9,,Yes,Humanized,BIIB092,,no,
Ofatumumab,0,0.2,,Yes,Human,,,no,"""treatment induced"""
Olaratumab,3.5,3.5,,Yes,Humanized,,,no,
Olokizumab,9.8,4.1,,No,Humanized,,,,
Omalizumab,0,0.1,,Yes,Humanized,,,no,
Onartuzumab,11.9,2.4,,No,Humanized,MM302,,,
Ontuxizumab,4.5,4.5,,No,Humanized,,,,
Opicinumab,3.6,0.2,,No,Human,,,,
Otlertuzumab,5,0,,No,Humanized,,,,
Ozanezumab,2.5,,,No,Humanized,MHAA4549A,,,
Palivizumab,1.1,1.5,,Yes,Humanized,LY3015014,,yes,Only ADA percentages were given - 1.1% and 1.5%. We chose the higher ADA number
Pamrevlumab,0,8.2,,No,Human,,,,
Panitumumab,2.8,4.2,,Yes,Human,,,no,"5.2% (74/1417) in monotherapy, 3.2% (47/1470) in combination therapy. so total would be 4.2%"
PankoMab,25,,,No,Humanized,Gatipotuzumab,,,
Parsatuzumab,4.7,3.3,,No,Humanized,,,,
Pateclizumab,4.7,8.2,,No,Humanized,,,,
Pembrolizumab,1.7,2.1,,Yes,Humanized,,,no,treatment emergent ADA
Pertuzumab,2.8,5.6,,Yes,Humanized,PF06252616,,yes,"*** Both labels are different so we merged the numbers ***Perjeta: 3% (13/389) in treated group cleopatra study, 0.3% (1/383) in neoadjuvant period of berenice (during this study patients received perjeta + combination of drugs).//Phesgo:12.9% (31/241) in Federica, 2.1% (5/241) in Federica neoadjuvant chemo and 10.6%(26/245) in IV, 0.4% (1/245) in neoadjuvant in IV// Including neoadjuvant cases: 4.4%, excluding neoadjuvant ada positive cases: 8%"
Pinatuzumab,1.4,0.7,,No,Humanized,,,,
Polatuzumab,2.6,2.5,,Yes,Humanized,,,no,"1.4% (6/427) in polarix study, 6% (8/134) in go29365 study ->2.5"
Ponezumab,0,0,,No,Humanized,,,,
Prasinezumab,0,0,,No,Humanized,,,,
Prezalumab,0,,,No,Humanized,,,,
Racotumomab,85,,,No,Mouse,,,,
Ramucirumab,4.1,3,0,Yes,Human,,Mismatch,no,treatment emergent
Ranibizumab,3.5,13.1,,Yes,Humanized,,,yes,"The other labels have (1%-9%) without subject numbers. We are using the numbers from the Susvimo label/In Susvimo label: baseline ADA: 2.1-3.6%. AMD:12%(29/247), DME: 13%(41/320), DR: 17%(17/99). The added up ADA is 13.1% however we can consider subtracting the baseline ADA: 9.5-11%"
Refanezumab,9.4,,,No,Humanized,,,,
Reslizumab,5,5.1,,Yes,Humanized,,,yes,"Should be 5.1%. The label explicitly mentions ""treatment emergent"", One study: 5.4% (53/983). Open label study: 4.8% (49/1014). Added up together, 5.1%. Previously when we were determinnig we excluded the one study and only included the open label study. However the label explictly mentions these are ""treatment emergent"""
Risankizumab,24,17.6,,Yes,Humanized,,,no,"Added up all the indications/plaque psoriasis: 24% (263/1079)/psoriatic arthritis: 12.1% (79/652)/Crohn's disease: 3.4% (2/58) - 360mg, 0% (0/57) - 180mg/ Ulcerative colitis: 8.9% (8/90) - 180mg, 4.4%(4/91) - 360mg"
Rituximab,11,10.8,,Yes,Chimeric,,,yes,"All other FDA labels: 11% (273/2578) at any time after receiving the drug/Rituxan Hycela (rituximab + hyaluronidase): sabrina study: 2.0% for rituxan hycela and 1.9% for monotherapy (no subject numbers given) - both treatment induced, SAWYER study: 12% (rituxxan hycela) and 15% (monotherapy) - treatment induced/enhanced.// Need discussion"
Robatumumab,0,0,,No,Human,,,,
Roledumab,0,,,No,Human,,,,
Romosozumab,18.1,18.1,,Yes,Humanized,,,no,
Rovalpituzumab,0,1.4,,No,Humanized,,,,
Sarilumab,3.8,5.5,,Yes,Human,,,yes,"Only ADA % is given (1.8% - 9.2%), The median value is 5.5"
Secukinumab,1,0.4,,Yes,Human,,,no,less than 1% (limitation of detecting ADA in presence of the drug)/ 0.4% (less than 1%) in up to 52wk treatment
Setrusumab,0,10.8,,No,Human,,,,
Sifalimumab,0,14.8,,No,Human,,,,
Siltuximab,0.2,2,,Yes,Chimeric,,,yes,"0% (EIA), 2% (ECLIA)"
Sirukumab,2.9,2.5,,No,Human,,,,
Solanezumab,3.5,8.3,,No,Humanized,,,,
Suptavumab,5,1.2,,No,Human,,,,
Sutimlimab,8,12,,Yes,Humanized,,,no,"""developed ADA"""
Suvratoxumab,3,0.8,,No,Human,,,,
Tabalumab,4.4,1.6,,No,Human,,,,
Talacotuzumab,17.5,24.7,,No,Humanized,,,,
Tarextumab,26,26.2,,No,Human,,,,
Temelimab,0,0,,No,Humanized,,,,
Tezepelumab,2.1,2,,Yes,Human,,,no,2% is treatment emergent. 11 patients - the toal is not 601 (this includes placebos)
Tibulizumab,-,3.9,,No,Humanized,,,,
Ticilimumab,2,12.6,,Yes,Human,Tremelimumab,,,
Tigatuzumab,0,,,No,Humanized,,,,
Tildrakizumab,6.5,6.5,,Yes,Humanized,,,no,
Tocilizumab,2,1.6,,Yes,Humanized,,,no,46/2876
Tomuzotuximab,-,8.1,,No,Humanized,,,,
Toripalimab,1,3.6,,Yes,Humanized,,,no,(3.4% from 146 subjects) + (3.7% from 190 subjects) -> 3.6% total. specifically treatment emergent numbers
Tosatoxumab,2.1,3.1,,No,Human,,,,
Tovetumab,2.9,7.5,,No,Human,,,,
Tralokinumab,0.5,1.4,,Yes,Human,,,yes,"During the initial 16wk, incidence of ADA was 1.4 for subjects who got treated with the drug. (However the later paragraph mentions: across all trial period, ADA incidence for subjects who received ADBRY was 4.6%). So I think we should change this from 1.4 to 4.6"
Trastuzumab,8.1,3.8,,Yes,Humanized,,,yes,"There was a typo! Should be 3.8%. Added up all the different documents: 1, 2, 3, 6, 10 Labels: (1+49+21+30+47+64+5+1)/(903+2231+793+296+295+1243+241+245)*100"
Ublituximab,0,81,,Yes,Chimeric,,,no,"Although ADA is high, the presence of ADA had no observable impact on the safety/efficacy of the drug"
Ustekinumab,4,7.7,,Yes,Human,,,yes,"No subject numbers. Only percentages given. plaque psoriasis and psoriatric arthritis: 6-12.4% (mid 9.2%). Crohn's disease and ulcerative colitis: 2.9-4.6% (mid: 3.75%). Or if we range it as 2.9-12.4, the mid value would be 7.65%"
Utomilumab,40.7,59,,No,Human,,,,
Varlilumab,0,0,,No,Human,,,,
Vatelizumab,2.6,0.7,,No,Humanized,,,,
Vedolizumab,9.5,5.5,,Yes,Humanized,,,no,Intraveneous: 6% (86/1427)/Subcutaneous: 3.4% (13/381). Added up the number to get 5.5%
Veltuzumab,19.5,9.1,,No,Humanized,,,,
Xentuzumab,2.3,17.2,,No,Humanized,,,,
Zalutumumab,0,,,No,Human,,,,
Zolbetuximab,0,9.5,4.4,Yes,Chimeric,,Mismatch,no,
Zolimomab,85.7,,,No,Mouse,,,,
