,Therapeutic_antibody,Immun_value,True_label,Cluster_label
90,otlertuzumab,0.0,blue,red
137,talacotuzumab,24.7,red,red
85,lintuzumab,0.0,blue,red
123,ocrelizumab,0.9,blue,red
5,daclizumab,19.0,red,red
8,pembrolizumab,2.1,red,red
65,sirukumab,2.5,red,red
150,galiximab,0.0,blue,red
105,crizanlizumab,0.5,blue,red
75,emibetuzumab,1.3,red,red
140,palivizumab,1.5,red,red
50,romosozumab,18.1,red,red
149,cendakimab,15.6,red,red
99,mogamulizumab,14.1,red,red
6,farletuzumab,26.7,red,red
139,ficlatuzumab,0.0,blue,red
144,risankizumab,17.6,red,red
88,ontuxizumab,4.5,red,red
92,pinatuzumab,0.7,blue,red
91,parsatuzumab,3.3,red,red
152,lutikizumab,20.4,red,red
122,inotuzumab,3.0,red,red
93,prasinezumab,0.0,blue,red
119,tocilizumab,1.6,red,red
77,frovocimab,1.9,red,red
162,tildrakizumab,6.5,red,red
52,bococizumab,32.1,red,red
26,polatuzumab,2.5,red,red
35,temelimab,0.0,blue,red
54,birtamimab,9.1,red,red
145,toripalimab,3.6,red,red
28,gevokizumab,8.2,red,red
141,ibalizumab,2.5,red,red
30,obexelimab,66.7,red,red
109,obiltoxaximab,2.5,red,red
29,lebrikizumab,2.8,red,red
112,elotuzumab,20.5,red,red
113,idarucizumab,2.5,red,red
39,andecaliximab,14.3,red,red
151,gosuranemab,3.2,red,red
57,crenezumab,1.7,red,red
27,concizumab,25.4,red,red
37,navicixizumab,26.3,red,red
156,domagrozumab,3.3,red,red
115,vedolizumab,5.5,red,red
111,tibulizumab,3.9,red,red
114,ixekizumab,13.6,red,red
133,trastuzumab,0.038,blue,red
9,pertuzumab,5.6,red,red
103,emicizumab,5.1,red,red
49,galcanezumab,4.8,red,red
121,reslizumab,4.8,red,red
19,eculizumab,2.1,red,red
153,pateclizumab,8.2,red,red
4,bevacizumab,0.6,blue,red
3,alemtuzumab,83.0,red,red
127,benralizumab,13.0,red,red
10,ranibizumab,13.1,red,red
72,dapirolizumab,33.5,red,red
53,bimekizumab,49.7,red,red
56,clazakizumab,2.6,red,red
131,atezolizumab,24.5,red,red
58,etrolizumab,16.2,red,red
106,cemiplimab,2.0,red,red
7,omalizumab,0.1,blue,red
84,lifastuzumab,24.3,red,red
132,certolizumab,19.8,red,red
148,onartuzumab,2.4,red,red
76,enokizumab,3.2,red,red
63,olokizumab,4.1,red,red
129,mepolizumab,3.9,red,red
158,fremanezumab,1.6,red,red
38,xentuzumab,17.2,red,red
46,rovalpituzumab,1.4,red,red
61,ligelizumab,16.7,red,red
60,glembatumumab,0.0,blue,red
161,sarilumab,5.5,red,red
116,denosumab,0.7,blue,red
102,enfortumab,3.3,red,red
82,indusatumab,4.9,red,red
67,suptavumab,1.2,red,red
136,panitumumab,4.2,red,red
128,alirocumab,5.4,red,red
146,anifrolumab,2.6,red,red
107,brodalumab,3.0,red,red
134,adalimumab,6.8,red,red
125,dupilumab,6.6,red,red
79,gedivumab,0.0,blue,red
143,gremubamab,2.4,red,red
110,tosatoxumab,3.1,red,red
15,ramucirumab,3.0,red,red
86,mavrilimumab,6.1,red,red
97,tarextumab,26.2,red,red
98,tovetumab,7.5,red,red
87,namilumab,12.7,red,red
81,imalumab,4.8,red,red
62,nirsevimab,5.4,red,red
34,tralokinumab,1.4,red,red
48,guselkumab,5.7,red,red
83,iscalimab,1.7,red,red
155,utomilumab,59.0,red,red
100,gantenerumab,4.2,red,red
45,setrusumab,10.8,red,red
66,solanezumab,8.3,red,red
